text_mat_subid,text_mat_age,text_mat_sex,data_mat_acc,data_mat_int,data_mat_r_int,types,features,emotions
formal_unmask_7,25,female,0.65,3.75,4.923077,cart,mouth,neu
formal_unmask_7,25,female,0.35,5.05,5.571429,cart,mouth,sad
formal_unmask_7,25,female,0.95,4.85,4.842105,cart,face,happy
formal_unmask_7,25,female,0.45,3.65,5,cart,face,neu
formal_unmask_7,25,female,0.8,5.55,6,cart,face,sad
formal_unmask_8,24,female,0.85,7.5,7.5882,real,eye,happy
formal_unmask_8,24,female,0.35,4.9,4.2857,real,eye,neu
formal_unmask_8,24,female,0.55,6.35,7.0909,real,eye,sad
formal_unmask_8,24,female,0.1,6.6,4,real,eyeb,happy
formal_unmask_8,24,female,0.45,6.3,6.7778,real,eyeb,neu
formal_unmask_8,24,female,0.35,7.1,6.5714,real,eyeb,sad
formal_unmask_8,24,female,1,8.95,8.95,real,mouth,happy
formal_unmask_8,24,female,0.5,4.05,4.2,real,mouth,neu
formal_unmask_8,24,female,0.05,5.85,9,real,mouth,sad
formal_unmask_8,24,female,0.95,6.9,7,real,face,happy
formal_unmask_8,24,female,0.3,4.45,6.5,real,face,neu
formal_unmask_8,24,female,0.5,7.15,7.6,real,face,sad
formal_unmask_8,24,female,0.1,5.05,4,cart,eye,happy
formal_unmask_8,24,female,0.3,5,5,cart,eye,neu
formal_unmask_8,24,female,0.65,7.2,7.4615,cart,eye,sad
formal_unmask_8,24,female,0.95,2.65,2.4737,cart,eyeb,happy
formal_unmask_8,24,female,0.25,3.45,5,cart,eyeb,neu
formal_unmask_8,24,female,0.55,6.1,6,cart,eyeb,sad
formal_unmask_8,24,female,1,7.35,7.35,cart,mouth,happy
formal_unmask_8,24,female,0.95,6.25,6.2105,cart,mouth,neu
formal_unmask_8,24,female,1,6.7,6.7,cart,mouth,sad
formal_unmask_8,24,female,1,6.1,6.1,cart,face,happy
formal_unmask_8,24,female,0.15,2.85,4,cart,face,neu
formal_unmask_8,24,female,0.6,5.9,6.0833,cart,face,sad
formal_unmask_9,27,male,0.9,7.65,7.777778,real,eye,happy
formal_unmask_9,27,male,1,7.8,7.8,real,eye,neu
formal_unmask_9,27,male,0.05,7.5,7,real,eye,sad
formal_unmask_9,27,male,0.1,7.4,6.5,real,eyeb,happy
formal_unmask_9,27,male,0.8,7.45,7.5,real,eyeb,neu
formal_unmask_9,27,male,0,7.15,NaN,real,eyeb,sad
formal_unmask_9,27,male,1,8.6,8.6,real,mouth,happy
formal_unmask_9,27,male,1,7.6,7.6,real,mouth,neu
formal_unmask_9,27,male,0,7.8,NaN,real,mouth,sad
formal_unmask_9,27,male,1,7.85,7.85,real,face,happy
